Sample_ID,Order,Concentration,Current concentration,Pool1,Pool2,Pool3,Pool4,Half Pool 5,Half Pool 6,Half Pool 7,Half Pool 8,Half Pool 9,Half Pool 10,Half Pool 11,Half Pool 12,Half Pool 13,Half Pool 14,Half Pool 15,Half Pool 16,Half Pool 17,Half Pool 18,Half Pool 19,Half Pool 20,Half Pool 21,Half Pool 22,Half Pool 23,Concetration
JAE01,Diptera,28.73333333,15,2.6,4.8,1.4,6.4,1.8,2.7,4.5,3.2,1.9,4.5,2.6,1.2,3.8,1.3,2.6,1.5,4.4,2.7,2.6,2,1.5,1,3.2,11.9
JAE02,Diptera,33.33333333,15,4.8,5.8,6,9,3.8,2,3.1,1,1.3,4.6,3.1,1.4,2.5,3.2,0.7,3.3,2.9,4.2,1.5,4.3,4.9,1.3,1.9,9.68
JAE03,Diptera,17.775,15,1.4,5.6,7.8,2.6,4.3,1,0.9,2.1,2.1,3.8,4.7,3.7,2.4,1.9,4.4,1.3,2.5,3,3.7,2.7,1,3.1,4.7,16.2
JAE04,Diptera,34.4,15,3.2,5.4,7,5.4,2.8,1.5,1.1,3.7,2,2.1,4.9,4.6,1,1.7,1.3,2,0.7,2,4.5,0.8,2.2,1.4,0.8,11.8
JAE06,Odonata,27.53333333,15,8,6.8,3.8,9.8,1.9,1.3,4.6,0.8,4.6,3.1,2.1,0.9,4.9,3.8,4,2.7,2.8,2.6,4.6,4.8,2.3,3.5,3.4,10.9
JAE07,Ephemoptera,43.66666667,15,4.6,7.2,8.8,4.8,4.9,2.5,4.7,3.5,1.7,4.2,1.3,3.3,1.2,4.9,4.2,3.5,4.5,4.7,0.7,2.4,3.6,1.7,4.8,9.56
JAE08,Diplopoda,31.93333333,15,7.6,6.2,9,9.4,1.4,0.9,2.5,2.6,1,0.9,4.3,4.8,3.9,5,4.7,3.4,3.7,1.1,3.1,3.2,1.1,1.1,3.8,10.6
JAE10,Neuroptera,23.93333333,15,6.4,6.6,4.6,7,1.3,1.6,3,2,3.2,1.5,4.5,0.8,1.6,4.7,3.6,3,4.3,2.9,2.1,2.2,4.7,3.2,1.1,11.5
JAE11,Amphipoda,22.4,15,2,4,8.2,1.8,1.2,4.7,2.2,4,3.7,2.4,2.9,1.8,3.7,3,2.7,5,2,4.6,3.6,3.4,3.9,2.4,0.9,11.5
JAE12,Lepidoptera,20.3,15,1.8,9.6,2,7.6,3.3,2.6,2.1,1.6,4.8,2.7,2,2,2.1,4.3,0.9,3.7,2.2,1.9,3.8,2.6,1.4,1.2,4.4,11.1
JAE14,Lepidoptera,24.8,15,2.4,3.8,5.4,1.4,1.7,3.3,1.8,2.2,3.1,3.2,3.9,5,4.2,1.6,1.7,2.2,3.3,4.9,0.8,1.7,3.7,0.8,5,10.2
JAE15,Lepidoptera,32.2,15,9,3.6,4.2,3.6,4.7,3.5,4.1,4.1,0.7,3.3,2.4,1.3,1.4,3.3,1.4,0.8,2.6,1.8,3.5,0.9,2.8,3.9,4.2,9.56
JAE17,Lepidoptera,22.93333333,15,9.6,9.4,2.8,10,2.3,1.7,1.4,1.7,2.6,3.6,3.4,1,3.5,4.5,4.6,1.9,4.6,0.7,2.8,3.6,3.8,3.7,1.4,10.1
JAE18,Lepidoptera,24.93333333,15,3.4,1.4,5,7.8,2.6,2.3,3.5,1.5,1.1,4.9,3.6,2.9,3.6,1.5,2.8,4.8,4.9,3.7,4.9,1.6,3.5,2.3,4.1,7.36
JAE19,Lepidoptera,22.6,15,1.6,5,3.6,8.2,4.1,4.6,4.2,0.9,3.5,2.5,5,4.5,3.3,2.5,2.2,4.5,1.4,0.8,1.7,3.3,4.4,3,2.3,11.6
JAE20,Dermaptera,30.2,15,3.8,8.6,6.4,7.4,2.2,1.8,1.5,4.4,2.5,1.9,2.7,2.7,2.8,2.6,5,2.5,3.8,3.5,3.3,2.1,2.6,2.8,1.7,11.1
JAE21,Hymenoptera,27.4,15,7.8,8.4,3.4,6,1.5,3,2.8,5,1.6,1.6,1.7,1.7,1.9,3.5,0.8,4.9,4,3.4,1.3,3.1,2.9,0.7,3.1,12
JAE22,Hymenoptera,30.75,15,2.2,8,6.2,9.6,4.8,2.2,3.4,4.6,4.2,4.1,3.3,1.6,4.5,2.7,3.3,1.4,4.1,1.2,1.1,1.1,1.8,3.4,2.1,12.8
JAE23,Hymenoptera,18.5,15,10,8.2,8.4,2.2,0.9,4,2.4,2.7,4.4,1.7,3.5,2.4,3,0.9,3.9,1.8,0.9,2.4,2.4,1.9,4.3,2,3.3,13.1
JAE24,Isopoda,26,15,8.4,8.8,6.6,2.4,5,3.4,4.9,4.2,4.7,2.9,3.8,3.8,2.9,2.4,4.9,4.2,1.6,1.7,5,1.5,2.4,1.9,1.8,12.2
JAE25,Heteroptera,12.63333333,12.63333333,9.4,2.4,1.8,8.6,1.6,2.8,3.9,3.9,3,3.7,3,2.6,4,3.6,3.1,1.7,2.4,3.1,3.9,2.3,4.8,2.7,4.6,9.84
JAE26,Homoptera,22.66666667,15,4.2,7,8.6,6.6,2.7,2.4,0.7,1.1,1.8,3.9,4.6,3,4.3,1.2,2.3,2.1,3.9,2.3,3.2,4,4,4.8,3.6,13
JAE27,Heteroptera,13.3,13.3,5,2.2,2.4,3.2,3.2,0.7,3.7,2.4,4.9,4.7,2.5,1.1,2.2,4,1.8,3.9,0.8,3.6,1.2,4.7,2.7,2.1,3.5,12.2
JAE29,Trichoptera,35.13333333,15,7.4,6,7.2,3.4,1,1.2,1.3,3.6,3.6,4.4,0.7,4.4,3.4,3.4,3.7,0.7,1.2,3.2,4.1,5,2,4.1,1,8.18
JAE30,Trichoptera,29.6,15,5.4,9.8,4,4,3.4,3.1,1.7,1.8,2.2,5,4,2.8,0.7,1,2.1,2.3,3.2,3.9,1.8,2.9,0.7,4.6,2.6,7.4
JAE31,Trichoptera,26.46666667,15,4,1.6,4.4,1.6,4.2,5,1.9,4.7,4.1,3.4,4.1,1.9,2.3,2.8,3.4,1.2,3.5,2.2,2,3.7,1.6,4.9,1.3,6.7
JAE32,Coleoptera,41.86666667,15,6,10,5.2,2,4.6,4.2,4.8,1.9,2.4,1.3,1.9,3.2,4.4,3.1,1.1,3.1,4.7,2.1,2.5,4.4,4.1,4.4,4.3,12.1
JAE33,Coleoptera,23.6,15,6.2,2,7.4,7.2,3,4.9,0.8,3.1,3.9,4.8,4.8,2.3,1.5,4.1,1.9,4,1.7,5,1.6,4.9,1.9,4,2.9,15.5
JAE34,Coleoptera,42.73333333,15,5.8,4.2,5.6,5.2,2.1,4.5,2,2.5,2.9,1.2,2.2,0.7,4.7,0.7,4.3,4.6,1.3,1.3,1.4,1,3.2,1.5,4,8.22
JAE35,Coleoptera,39.93333333,15,3.6,7.6,1.6,8,4.5,3.8,4.4,3.4,0.8,2.6,0.9,2.5,3.2,0.8,4.8,3.8,4.2,1.4,2.2,4.2,4.5,3.3,4.9,11.6
JAE36,Coleoptera,42.46666667,15,2.8,2.8,10,2.8,1.1,3.6,2.6,2.8,5,0.8,3.2,3.4,2.7,2.9,2.4,2.6,2.7,3.8,4.4,4.6,0.9,4.2,2.8,9.06
JAE37,Coleoptera,18.03333333,15,6.8,1.8,2.2,4.4,3.5,3.9,3.8,4.3,3.4,3,3.7,4.2,1.7,1.1,3.2,1.6,1.1,1.5,0.9,1.3,3.4,4.7,2.2,13.3
JAE41,Araneae,35,15,9.2,4.6,5.8,8.4,4,2.1,3.2,4.9,4,1.1,2.3,4.3,1.3,4.8,4.1,2.4,3.1,4.5,4.3,0.7,0.8,0.9,3,12.9
JAE43,Araneae,38.86666667,15,8.8,5.2,9.6,3.8,3.7,4.1,1,3,0.9,3.5,4.2,2.2,1.8,2,3,4.1,2.3,3.3,1,1.8,1.3,3.8,0.7,13.3
JAE44,Araneae,36.73333333,15,8.6,2.6,6.8,6.2,3.1,1.9,3.6,3.3,4.5,4,1.6,4,3.1,2.3,2.9,4.3,3,4.4,4.8,3,2.5,4.5,2.5,14.4
