"Primer","Nuclear_mitochondrial","PCR_cycles","DNA_Template","Pool","Specimen","Taxon","percent_DNA","percent_Reads","number_Reads","total_Reads","amount_DNA"
"18sMach","nuclear",6,1,"JAEP1","JAE01","Diptera",0.010366826,0.0253531668069978,271,10689,19.360047555
"18sMach","nuclear",6,1,"JAEP2","JAE01","Diptera",0.019138756,0.0430185051670272,358,8322,35.74162683
"18sMach","nuclear",6,1,"JAEP3","JAE01","Diptera",0.005582137,0.0100202791363474,84,8383,10.4246408475
"18sMach","nuclear",6,1,"JAEP4","JAE01","Diptera",0.025518341,0.0641991796241534,673,10483,47.6555018175
"18sMach","nuclear",6,1,"JAEP5","JAE01","Diptera",0.014354067,0.026393307411335,224,8487,26.8062201225
"18sMach","nuclear",6,1,"JAEP6","JAE01","Diptera",0.0215311,0.0583243823845328,543,9310,40.20932925
"18sMach","nuclear",6,1,"JAEP7","JAE01","Diptera",0.035885167,0.0762695501061981,790,10358,67.0155493725
"18sMach","nuclear",6,1,"JAEP8","JAE01","Diptera",0.025518341,0.0580386486131195,883,15214,47.6555018175
"18sMach","nuclear",6,1,"JAEP9","JAE01","Diptera",0.015151515,0.0422307692307692,549,13000,28.2954542625
"18sMach","nuclear",6,1,"JAEP10","JAE01","Diptera",0.035885167,0.0577928630400881,630,10901,67.0155493725
"18sMach","nuclear",6,1,"JAEP11","JAE01","Diptera",0.020733652,0.0415551306564691,326,7845,38.72009511
"18sMach","nuclear",6,1,"JAEP12","JAE01","Diptera",0.009569378,0.0206618373394797,251,12148,17.870813415
"18sMach","nuclear",6,1,"JAEP13","JAE01","Diptera",0.03030303,0.0658978583196046,600,9105,56.590908525
"18sMach","nuclear",6,1,"JAEP14","JAE01","Diptera",0.010366826,0.0227944682880305,239,10485,19.360047555
"18sMach","nuclear",6,1,"JAEP15","JAE01","Diptera",0.020733652,0.0486409155937053,476,9786,38.72009511
"18sMach","nuclear",6,1,"JAEP16","JAE01","Diptera",0.011961722,0.0271871055442276,280,10299,22.338515835
"18sSSU","nuclear",6,1,"JAEP1","JAE01","Diptera",0.010366826,0.038801833493231,364,9381,19.360047555
"18sSSU","nuclear",6,1,"JAEP2","JAE01","Diptera",0.019138756,0.0722085241282142,615,8517,35.74162683
"18sSSU","nuclear",6,1,"JAEP3","JAE01","Diptera",0.005582137,0.0158357045651367,128,8083,10.4246408475
"18sSSU","nuclear",6,1,"JAEP4","JAE01","Diptera",0.025518341,0.0806293018682399,738,9153,47.6555018175
"18sSSU","nuclear",6,1,"JAEP5","JAE01","Diptera",0.014354067,0.0567382718427897,589,10381,26.8062201225
"18sSSU","nuclear",6,1,"JAEP6","JAE01","Diptera",0.0215311,0.0885282596530498,791,8935,40.20932925
"18sSSU","nuclear",6,1,"JAEP7","JAE01","Diptera",0.035885167,0.120479204339964,1066,8848,67.0155493725
"18sSSU","nuclear",6,1,"JAEP8","JAE01","Diptera",0.025518341,0.081992897430541,785,9574,47.6555018175
"18sSSU","nuclear",6,1,"JAEP9","JAE01","Diptera",0.015151515,0.0417793069550258,340,8138,28.2954542625
"18sSSU","nuclear",6,1,"JAEP10","JAE01","Diptera",0.035885167,0.0983167149136914,917,9327,67.0155493725
"18sSSU","nuclear",6,1,"JAEP11","JAE01","Diptera",0.020733652,0.0529318926793736,436,8237,38.72009511
"18sSSU","nuclear",6,1,"JAEP12","JAE01","Diptera",0.009569378,0.0323882102431918,289,8923,17.870813415
"18sSSU","nuclear",6,1,"JAEP13","JAE01","Diptera",0.03030303,0.104196642685851,869,8340,56.590908525
"18sSSU","nuclear",6,1,"JAEP14","JAE01","Diptera",0.010366826,0.0303935709870183,295,9706,19.360047555
"18sSSU","nuclear",6,1,"JAEP15","JAE01","Diptera",0.020733652,0.0668972225224252,619,9253,38.72009511
"18sSSU","nuclear",6,1,"JAEP16","JAE01","Diptera",0.011961722,0.0436724565756824,352,8060,22.338515835
"28sMach","nuclear",6,1,"JAEP1","JAE01","Diptera",0.010366826,0.0419966189162737,472,11239,19.360047555
"28sMach","nuclear",6,1,"JAEP2","JAE01","Diptera",0.019138756,0.0636568406620311,650,10211,35.74162683
"28sMach","nuclear",6,1,"JAEP3","JAE01","Diptera",0.005582137,0.0183307332293292,188,10256,10.4246408475
"28sMach","nuclear",6,1,"JAEP4","JAE01","Diptera",0.025518341,0.0850384831987986,906,10654,47.6555018175
"28sMach","nuclear",6,1,"JAEP5","JAE01","Diptera",0.014354067,0.0376688689478355,382,10141,26.8062201225
"28sMach","nuclear",6,1,"JAEP6","JAE01","Diptera",0.0215311,0.0823518834846714,916,11123,40.20932925
"28sMach","nuclear",6,1,"JAEP7","JAE01","Diptera",0.035885167,0.142448979591837,1745,12250,67.0155493725
"28sMach","nuclear",6,1,"JAEP8","JAE01","Diptera",0.025518341,0.134473841257211,2028,15081,47.6555018175
"28sMach","nuclear",6,1,"JAEP9","JAE01","Diptera",0.015151515,0.0535255777207189,542,10126,28.2954542625
"28sMach","nuclear",6,1,"JAEP10","JAE01","Diptera",0.035885167,0.103387634209552,1117,10804,67.0155493725
"28sMach","nuclear",6,1,"JAEP11","JAE01","Diptera",0.020733652,0.0530142659917165,576,10865,38.72009511
"28sMach","nuclear",6,1,"JAEP12","JAE01","Diptera",0.009569378,0.0311191473163304,327,10508,17.870813415
"28sMach","nuclear",6,1,"JAEP13","JAE01","Diptera",0.03030303,0.0937559671567691,982,10474,56.590908525
"28sMach","nuclear",6,1,"JAEP14","JAE01","Diptera",0.010366826,0.0343061019119934,375,10931,19.360047555
"28sMach","nuclear",6,1,"JAEP15","JAE01","Diptera",0.020733652,0.0594139989148128,657,11058,38.72009511
"28sMach","nuclear",6,1,"JAEP16","JAE01","Diptera",0.011961722,0.0924840085287846,1388,15008,22.338515835
"ARFHCO","mitochondrial",6,1,"JAEP1","JAE01","Diptera",0.010366826,0.0279642058165548,50,1788,19.360047555
"ARFHCO","mitochondrial",6,1,"JAEP2","JAE01","Diptera",0.019138756,0.0427509293680297,92,2152,35.74162683
"ARFHCO","mitochondrial",6,1,"JAEP3","JAE01","Diptera",0.005582137,0.00985221674876847,38,3857,10.4246408475
"ARFHCO","mitochondrial",6,1,"JAEP4","JAE01","Diptera",0.025518341,0.0647793930119867,254,3921,47.6555018175
"ARFHCO","mitochondrial",6,1,"JAEP5","JAE01","Diptera",0.014354067,0.0369230769230769,84,2275,26.8062201225
"ARFHCO","mitochondrial",6,1,"JAEP6","JAE01","Diptera",0.0215311,0.0659588886379038,292,4427,40.20932925
"ARFHCO","mitochondrial",6,1,"JAEP7","JAE01","Diptera",0.035885167,0.123465533522191,523,4236,67.0155493725
"ARFHCO","mitochondrial",6,1,"JAEP8","JAE01","Diptera",0.025518341,0.0821131208728108,286,3483,47.6555018175
"ARFHCO","mitochondrial",6,1,"JAEP9","JAE01","Diptera",0.015151515,0.0404683125477221,159,3929,28.2954542625
"ARFHCO","mitochondrial",6,1,"JAEP10","JAE01","Diptera",0.035885167,0.0850780990362247,256,3009,67.0155493725
"ARFHCO","mitochondrial",6,1,"JAEP11","JAE01","Diptera",0.020733652,0.0427331887201735,197,4610,38.72009511
"ARFHCO","mitochondrial",6,1,"JAEP12","JAE01","Diptera",0.009569378,0.0107353730542136,20,1863,17.870813415
"ARFHCO","mitochondrial",6,1,"JAEP13","JAE01","Diptera",0.03030303,0.0824200913242009,361,4380,56.590908525
