"Primer","Nuclear_mitochondrial","PCR_cycles","DNA_Template","Pool","Specimen","Taxon","percent_DNA","percent_Reads","number_Reads","total_Reads","amount_DNA"
"ARFHCO","mitochondrial",6,4,"JAEP1","JAE01","Diptera",0.010366826,0.036561707,245,6701,19.360047555
"ARFHCO","mitochondrial",6,4,"JAEP2","JAE01","Diptera",0.019138756,0.063820423,435,6816,35.74162683
"ARFHCO","mitochondrial",6,4,"JAEP3","JAE01","Diptera",0.005582137,0.014397496,92,6390,10.4246408475
"ARFHCO","mitochondrial",6,4,"JAEP4","JAE01","Diptera",0.025518341,0.077048181,379,4919,47.6555018175
"ARFHCO","mitochondrial",6,4,"JAEP5","JAE01","Diptera",0.014354067,0.04244646,220,5183,26.8062201225
"ARFHCO","mitochondrial",6,4,"JAEP6","JAE01","Diptera",0.0215311,0.066748639,380,5693,40.20932925
"ARFHCO","mitochondrial",6,4,"JAEP7","JAE01","Diptera",0.035885167,0.101200989,573,5662,67.0155493725
"ARFHCO","mitochondrial",6,4,"JAEP8","JAE01","Diptera",0.025518341,0.079102281,645,8154,47.6555018175
"ARFHCO","mitochondrial",6,4,"JAEP9","JAE01","Diptera",0.015151515,0.044976816,291,6470,28.2954542625
"ARFHCO","mitochondrial",6,4,"JAEP10","JAE01","Diptera",0.035885167,0.09277177,652,7028,67.0155493725
"ARFHCO","mitochondrial",6,4,"JAEP11","JAE01","Diptera",0.020733652,0.05200809,360,6922,38.72009511
"ARFHCO","mitochondrial",6,4,"JAEP12","JAE01","Diptera",0.009569378,0.033535165,144,4294,17.870813415
"ARFHCO","mitochondrial",6,4,"JAEP13","JAE01","Diptera",0.03030303,0.087471526,384,4390,56.590908525
"ARFHCO","mitochondrial",6,4,"JAEP14","JAE01","Diptera",0.010366826,0.032011331,226,7060,19.360047555
"ARFHCO","mitochondrial",6,4,"JAEP15","JAE01","Diptera",0.020733652,0.070641853,372,5266,38.72009511
"ARFHCO","mitochondrial",6,4,"JAEP16","JAE01","Diptera",0.011961722,0.035082873,254,7240,22.338515835
"ARFHCO","mitochondrial",6,4,"JAEP17","JAE01","Diptera",0.035087719,0.095701857,737,7701,65.5263152325
"ARFHCO","mitochondrial",6,4,"JAEP18","JAE01","Diptera",0.0215311,0.066232165,376,5677,40.20932925
"ARFHCO","mitochondrial",6,4,"JAEP19","JAE01","Diptera",0.020733652,0.062704394,441,7033,38.72009511
"ARFHCO","mitochondrial",6,4,"JAEP20","JAE01","Diptera",0.015948963,0.056212358,252,4483,29.7846884025
"ARFHCO","mitochondrial",6,4,"JAEP21","JAE01","Diptera",0.011961722,0.038395904,225,5860,22.338515835
"ARFHCO","mitochondrial",6,4,"JAEP22","JAE01","Diptera",0.007974482,0.03257465,156,4789,14.892345135
"ARFHCO","mitochondrial",6,4,"JAEP23","JAE01","Diptera",0.025518341,0.069346214,402,5797,47.6555018175
"ARFHCO","mitochondrial",22,4,"JAEP1","JAE01","Diptera",0.010366826,0.039418576,160,4059,19.360047555
"ARFHCO","mitochondrial",22,4,"JAEP2","JAE01","Diptera",0.019138756,0.060391602,256,4239,35.74162683
"ARFHCO","mitochondrial",22,4,"JAEP3","JAE01","Diptera",0.005582137,0.013115565,106,8082,10.4246408475
"ARFHCO","mitochondrial",22,4,"JAEP4","JAE01","Diptera",0.025518341,0.075375405,768,10189,47.6555018175
"ARFHCO","mitochondrial",22,4,"JAEP5","JAE01","Diptera",0.014354067,0.034090909,144,4224,26.8062201225
"ARFHCO","mitochondrial",22,4,"JAEP6","JAE01","Diptera",0.0215311,0.058244723,367,6301,40.20932925
"ARFHCO","mitochondrial",22,4,"JAEP7","JAE01","Diptera",0.035885167,0.106666667,360,3375,67.0155493725
"ARFHCO","mitochondrial",22,4,"JAEP8","JAE01","Diptera",0.025518341,0.076078869,409,5376,47.6555018175
"ARFHCO","mitochondrial",22,4,"JAEP9","JAE01","Diptera",0.015151515,0.067267684,194,2884,28.2954542625
"ARFHCO","mitochondrial",22,4,"JAEP10","JAE01","Diptera",0.035885167,0.065520066,320,4884,67.0155493725
"ARFHCO","mitochondrial",22,4,"JAEP11","JAE01","Diptera",0.020733652,0.050978943,276,5414,38.72009511
"ARFHCO","mitochondrial",22,4,"JAEP12","JAE01","Diptera",0.009569378,0.030671296,265,8640,17.870813415
"ARFHCO","mitochondrial",22,4,"JAEP13","JAE01","Diptera",0.03030303,0.053459955,805,15058,56.590908525
"ARFHCO","mitochondrial",22,4,"JAEP14","JAE01","Diptera",0.010366826,0.026046512,168,6450,19.360047555
"ARFHCO","mitochondrial",22,4,"JAEP15","JAE01","Diptera",0.020733652,0.058612545,670,11431,38.72009511
"ARFHCO","mitochondrial",22,4,"JAEP16","JAE01","Diptera",0.011961722,0.031707317,65,2050,22.338515835
"ARFHCO","mitochondrial",22,4,"JAEP17","JAE01","Diptera",0.035087719,0.09981685,327,3276,65.5263152325
"ARFHCO","mitochondrial",22,4,"JAEP18","JAE01","Diptera",0.0215311,0.057632399,259,4494,40.20932925
"ARFHCO","mitochondrial",22,4,"JAEP19","JAE01","Diptera",0.020733652,0.055291818,198,3581,38.72009511
"ARFHCO","mitochondrial",22,4,"JAEP20","JAE01","Diptera",0.015948963,0.051560758,185,3588,29.7846884025
"ARFHCO","mitochondrial",22,4,"JAEP21","JAE01","Diptera",0.011961722,0.032928436,225,6833,22.338515835
"ARFHCO","mitochondrial",22,4,"JAEP22","JAE01","Diptera",0.007974482,0.022971794,79,3439,14.892345135
"ARFHCO","mitochondrial",22,4,"JAEP23","JAE01","Diptera",0.025518341,0.063763522,2293,35961,47.6555018175
"ARFHCO","mitochondrial",14,4,"JAEP1","JAE01","Diptera",0.010366826,0.037890538,342,9026,19.360047555
"ARFHCO","mitochondrial",14,4,"JAEP2","JAE01","Diptera",0.019138756,0.064845078,496,7649,35.74162683
"ARFHCO","mitochondrial",14,4,"JAEP3","JAE01","Diptera",0.005582137,0.013806237,116,8402,10.4246408475
"ARFHCO","mitochondrial",14,4,"JAEP4","JAE01","Diptera",0.025518341,0.061552511,337,5475,47.6555018175
"ARFHCO","mitochondrial",14,4,"JAEP5","JAE01","Diptera",0.014354067,0.032700422,248,7584,26.8062201225
"ARFHCO","mitochondrial",14,4,"JAEP7","JAE01","Diptera",0.035885167,0.111483871,864,7750,67.0155493725
"ARFHCO","mitochondrial",14,4,"JAEP8","JAE01","Diptera",0.025518341,0.078092809,796,10193,47.6555018175
"ARFHCO","mitochondrial",14,4,"JAEP9","JAE01","Diptera",0.015151515,0.042613359,437,10255,28.2954542625
"ARFHCO","mitochondrial",14,4,"JAEP10","JAE01","Diptera",0.035885167,0.087590097,559,6382,67.0155493725
"ARFHCO","mitochondrial",14,4,"JAEP11","JAE01","Diptera",0.020733652,0.047847546,698,14588,38.72009511
"ARFHCO","mitochondrial",14,4,"JAEP12","JAE01","Diptera",0.009569378,0.026070935,283,10855,17.870813415
"ARFHCO","mitochondrial",14,4,"JAEP13","JAE01","Diptera",0.03030303,0.088335572,855,9679,56.590908525
"ARFHCO","mitochondrial",14,4,"JAEP14","JAE01","Diptera",0.010366826,0.028822843,321,11137,19.360047555
"ARFHCO","mitochondrial",14,4,"JAEP15","JAE01","Diptera",0.020733652,0.060528138,612,10111,38.72009511
"ARFHCO","mitochondrial",14,4,"JAEP16","JAE01","Diptera",0.011961722,0.033371692,319,9559,22.338515835
"ARFHCO","mitochondrial",14,4,"JAEP17","JAE01","Diptera",0.035087719,0.091017187,842,9251,65.5263152325
"ARFHCO","mitochondrial",14,4,"JAEP18","JAE01","Diptera",0.0215311,0.058066478,573,9868,40.20932925
"ARFHCO","mitochondrial",14,4,"JAEP19","JAE01","Diptera",0.020733652,0.058322303,705,12088,38.72009511
"ARFHCO","mitochondrial",14,4,"JAEP20","JAE01","Diptera",0.015948963,0.044317274,333,7514,29.7846884025
"ARFHCO","mitochondrial",14,4,"JAEP21","JAE01","Diptera",0.011961722,0.037383178,400,10700,22.338515835
"ARFHCO","mitochondrial",14,4,"JAEP22","JAE01","Diptera",0.007974482,0.023471616,215,9160,14.892345135
"ARFHCO","mitochondrial",14,4,"JAEP23","JAE01","Diptera",0.025518341,0.059414991,585,9846,47.6555018175
"ARFHCO","mitochondrial",26,4,"JAEP1","JAE01","Diptera",0.010366826,0.03761858,230,6114,19.360047555
"ARFHCO","mitochondrial",26,4,"JAEP3","JAE01","Diptera",0.005582137,0.013658537,28,2050,10.4246408475
"ARFHCO","mitochondrial",26,4,"JAEP4","JAE01","Diptera",0.025518341,0.065681445,80,1218,47.6555018175
"ARFHCO","mitochondrial",26,4,"JAEP5","JAE01","Diptera",0.014354067,0.030172414,63,2088,26.8062201225
"ARFHCO","mitochondrial",26,4,"JAEP6","JAE01","Diptera",0.0215311,0.058518006,169,2888,40.20932925
"ARFHCO","mitochondrial",26,4,"JAEP7","JAE01","Diptera",0.035885167,0.091473744,162,1771,67.0155493725
"ARFHCO","mitochondrial",26,4,"JAEP8","JAE01","Diptera",0.025518341,0.087204564,107,1227,47.6555018175
"ARFHCO","mitochondrial",26,4,"JAEP9","JAE01","Diptera",0.015151515,0.036110178,215,5954,28.2954542625
"ARFHCO","mitochondrial",26,4,"JAEP11","JAE01","Diptera",0.020733652,0.043069307,87,2020,38.72009511
"ARFHCO","mitochondrial",26,4,"JAEP12","JAE01","Diptera",0.009569378,0.020918697,97,4637,17.870813415
"ARFHCO","mitochondrial",26,4,"JAEP13","JAE01","Diptera",0.03030303,0.07437408,101,1358,56.590908525
"ARFHCO","mitochondrial",26,4,"JAEP14","JAE01","Diptera",0.010366826,0.026128266,55,2105,19.360047555
"ARFHCO","mitochondrial",26,4,"JAEP15","JAE01","Diptera",0.020733652,0.052113492,90,1727,38.72009511
"ARFHCO","mitochondrial",26,4,"JAEP16","JAE01","Diptera",0.011961722,0.024789291,50,2017,22.338515835
"ARFHCO","mitochondrial",26,4,"JAEP19","JAE01","Diptera",0.020733652,0.050077042,65,1298,38.72009511
"ARFHCO","mitochondrial",26,4,"JAEP21","JAE01","Diptera",0.011961722,0.024180967,31,1282,22.338515835
"ARFHCO","mitochondrial",26,4,"JAEP22","JAE01","Diptera",0.007974482,0.021846371,31,1419,14.892345135
"ARFHCO","mitochondrial",26,4,"JAEP23","JAE01","Diptera",0.025518341,0.062133646,106,1706,47.6555018175
"ARFHCO","mitochondrial",6,4,"JAEP1","JAE02","Diptera",0.019138756,0.048500224,325,6701,35.74162683
"ARFHCO","mitochondrial",6,4,"JAEP2","JAE02","Diptera",0.023125997,0.054870892,374,6816,43.1877993975
"ARFHCO","mitochondrial",6,4,"JAEP3","JAE02","Diptera",0.023923445,0.058059468,371,6390,44.6770335375
"ARFHCO","mitochondrial",6,4,"JAEP4","JAE02","Diptera",0.035885167,0.077251474,380,4919,67.0155493725
"ARFHCO","mitochondrial",6,4,"JAEP5","JAE02","Diptera",0.03030303,0.072737797,377,5183,56.590908525
"ARFHCO","mitochondrial",6,4,"JAEP6","JAE02","Diptera",0.015948963,0.04971017,283,5693,29.7846884025
"ARFHCO","mitochondrial",6,4,"JAEP7","JAE02","Diptera",0.024720893,0.067820558,384,5662,46.1662676775
"ARFHCO","mitochondrial",6,4,"JAEP8","JAE02","Diptera",0.007974482,0.025508953,208,8154,14.892345135
"ARFHCO","mitochondrial",6,4,"JAEP9","JAE02","Diptera",0.010366826,0.029211747,189,6470,19.360047555
"ARFHCO","mitochondrial",6,4,"JAEP10","JAE02","Diptera",0.036682616,0.066021628,464,7028,68.50478538
"ARFHCO","mitochondrial",6,4,"JAEP11","JAE02","Diptera",0.024720893,0.058653568,406,6922,46.1662676775
"ARFHCO","mitochondrial",6,4,"JAEP12","JAE02","Diptera",0.011164274,0.029809036,128,4294,20.849281695
"ARFHCO","mitochondrial",6,4,"JAEP13","JAE02","Diptera",0.019936204,0.05808656,255,4390,37.23086097
"ARFHCO","mitochondrial",6,4,"JAEP14","JAE02","Diptera",0.025518341,0.066288952,468,7060,47.6555018175
"ARFHCO","mitochondrial",6,4,"JAEP15","JAE02","Diptera",0.005582137,0.021078618,111,5266,10.4246408475
"ARFHCO","mitochondrial",6,4,"JAEP16","JAE02","Diptera",0.026315789,0.064502762,467,7240,49.1447359575
"ARFHCO","mitochondrial",6,4,"JAEP17","JAE02","Diptera",0.023125997,0.056226464,433,7701,43.1877993975
"ARFHCO","mitochondrial",6,4,"JAEP18","JAE02","Diptera",0.033492823,0.070635899,401,5677,62.5478469525
"ARFHCO","mitochondrial",6,4,"JAEP19","JAE02","Diptera",0.011961722,0.038390445,270,7033,22.338515835
"ARFHCO","mitochondrial",6,4,"JAEP20","JAE02","Diptera",0.034290271,0.071380772,320,4483,64.0370810925
"ARFHCO","mitochondrial",6,4,"JAEP21","JAE02","Diptera",0.03907496,0.07559727,443,5860,72.9724878
"ARFHCO","mitochondrial",6,4,"JAEP22","JAE02","Diptera",0.010366826,0.03591564,172,4789,19.360047555
"ARFHCO","mitochondrial",6,4,"JAEP23","JAE02","Diptera",0.015151515,0.039503191,229,5797,28.2954542625
"ARFHCO","mitochondrial",22,4,"JAEP1","JAE02","Diptera",0.019138756,0.054693274,222,4059,35.74162683
"ARFHCO","mitochondrial",22,4,"JAEP2","JAE02","Diptera",0.023125997,0.059919792,254,4239,43.1877993975
"ARFHCO","mitochondrial",22,4,"JAEP3","JAE02","Diptera",0.023923445,0.056174214,454,8082,44.6770335375
"ARFHCO","mitochondrial",22,4,"JAEP4","JAE02","Diptera",0.035885167,0.095887722,977,10189,67.0155493725
"ARFHCO","mitochondrial",22,4,"JAEP5","JAE02","Diptera",0.03030303,0.067708333,286,4224,56.590908525
"ARFHCO","mitochondrial",22,4,"JAEP6","JAE02","Diptera",0.015948963,0.045230916,285,6301,29.7846884025
"ARFHCO","mitochondrial",22,4,"JAEP7","JAE02","Diptera",0.024720893,0.074666667,252,3375,46.1662676775
"ARFHCO","mitochondrial",22,4,"JAEP8","JAE02","Diptera",0.007974482,0.024739583,133,5376,14.892345135
"ARFHCO","mitochondrial",22,4,"JAEP9","JAE02","Diptera",0.010366826,0.058252427,168,2884,19.360047555
"ARFHCO","mitochondrial",22,4,"JAEP10","JAE02","Diptera",0.036682616,0.087223587,426,4884,68.50478538
"ARFHCO","mitochondrial",22,4,"JAEP11","JAE02","Diptera",0.024720893,0.038973033,211,5414,46.1662676775
"ARFHCO","mitochondrial",22,4,"JAEP12","JAE02","Diptera",0.011164274,0.058217593,503,8640,20.849281695
"ARFHCO","mitochondrial",22,4,"JAEP13","JAE02","Diptera",0.019936204,0.083145172,1252,15058,37.23086097
"ARFHCO","mitochondrial",22,4,"JAEP14","JAE02","Diptera",0.025518341,0.050232558,324,6450,47.6555018175
"ARFHCO","mitochondrial",22,4,"JAEP15","JAE02","Diptera",0.005582137,0.028169014,322,11431,10.4246408475
"ARFHCO","mitochondrial",22,4,"JAEP16","JAE02","Diptera",0.026315789,0.083902439,172,2050,49.1447359575
"ARFHCO","mitochondrial",22,4,"JAEP17","JAE02","Diptera",0.023125997,0.049450549,162,3276,43.1877993975
"ARFHCO","mitochondrial",22,4,"JAEP18","JAE02","Diptera",0.033492823,0.06764575,304,4494,62.5478469525
"ARFHCO","mitochondrial",22,4,"JAEP19","JAE02","Diptera",0.011961722,0.030996928,111,3581,22.338515835
"ARFHCO","mitochondrial",22,4,"JAEP20","JAE02","Diptera",0.034290271,0.083890747,301,3588,64.0370810925
"ARFHCO","mitochondrial",22,4,"JAEP21","JAE02","Diptera",0.03907496,0.104492902,714,6833,72.9724878
"ARFHCO","mitochondrial",22,4,"JAEP22","JAE02","Diptera",0.010366826,0.026170398,90,3439,19.360047555
"ARFHCO","mitochondrial",22,4,"JAEP23","JAE02","Diptera",0.015151515,0.036428353,1310,35961,28.2954542625
"ARFHCO","mitochondrial",14,4,"JAEP1","JAE02","Diptera",0.019138756,0.064812763,585,9026,35.74162683
"ARFHCO","mitochondrial",14,4,"JAEP2","JAE02","Diptera",0.023125997,0.067982743,520,7649,43.1877993975
"ARFHCO","mitochondrial",14,4,"JAEP3","JAE02","Diptera",0.023923445,0.061056891,513,8402,44.6770335375
"ARFHCO","mitochondrial",14,4,"JAEP4","JAE02","Diptera",0.035885167,0.111415525,610,5475,67.0155493725
"ARFHCO","mitochondrial",14,4,"JAEP5","JAE02","Diptera",0.03030303,0.073312236,556,7584,56.590908525
"ARFHCO","mitochondrial",14,4,"JAEP7","JAE02","Diptera",0.024720893,0.067741935,525,7750,46.1662676775
"ARFHCO","mitochondrial",14,4,"JAEP8","JAE02","Diptera",0.007974482,0.023447464,239,10193,14.892345135
"ARFHCO","mitochondrial",14,4,"JAEP9","JAE02","Diptera",0.010366826,0.029156509,299,10255,19.360047555
"ARFHCO","mitochondrial",14,4,"JAEP10","JAE02","Diptera",0.036682616,0.084926355,542,6382,68.50478538
"ARFHCO","mitochondrial",14,4,"JAEP11","JAE02","Diptera",0.024720893,0.055936386,816,14588,46.1662676775
"ARFHCO","mitochondrial",14,4,"JAEP12","JAE02","Diptera",0.011164274,0.029018885,315,10855,20.849281695
"ARFHCO","mitochondrial",14,4,"JAEP13","JAE02","Diptera",0.019936204,0.0577539,559,9679,37.23086097
"ARFHCO","mitochondrial",14,4,"JAEP14","JAE02","Diptera",0.025518341,0.069228697,771,11137,47.6555018175
"ARFHCO","mitochondrial",14,4,"JAEP15","JAE02","Diptera",0.005582137,0.019384828,196,10111,10.4246408475
"ARFHCO","mitochondrial",14,4,"JAEP16","JAE02","Diptera",0.026315789,0.073857098,706,9559,49.1447359575
"ARFHCO","mitochondrial",14,4,"JAEP17","JAE02","Diptera",0.023125997,0.065398335,605,9251,43.1877993975
