"Pool","Freezer_RT","Specimen","amount_DNA","Total_mg_in_pool","Experiment","number_Reads","total_Reads"
"FT3","F","Acari",0.394,17.986,"HFT3",190,13396
"RT1","R","Acari",0.248,13.364,"HRT1",74,15769
"RT2","R","Acari",0.362,18.39,"HRT2",151,15630
"RT3","R","Acari",0.122,17.242,"HRT3",8,14301
"RT4","R","Acari",0.09,14.079,"HRT4",11,6662
"FT1","F","Blattodea",1.724,16.943,"HFT1",896,13671
"FT2","F","Blattodea",1.205,15.625,"HFT2",698,11178
"FT3","F","Blattodea",1.678,17.986,"HFT3",957,13396
"FT4","F","Blattodea",2.603,16.373,"HFT4",1192,14369
"FT5","F","Blattodea",0.697,24.124,"HFT5",276,10349
"FT6","F","Blattodea",1.004,15.478,"HFT6",1023,13782
"FT7","F","Blattodea",0.836,14.958,"HFT7",849,15438
"FT8","F","Blattodea",0.926,13.781,"HFT8",1226,12144
"FT9","F","Blattodea",1.31,17.63,"HFT9",1223,13333
"FT10","F","Blattodea",0.667,15.933,"HFT10",521,12148
"FT12","F","Blattodea",1.995,14.99,"HFT12",1328,8536
"FT13","F","Blattodea",2.384,17.188,"HFT13",0,0
"FT14","F","Blattodea",1.228,12.723,"HFT14",1369,7833
"FT15","F","Blattodea",0.356,5.247,"HFT15",1812,8153
"RT1","R","Blattodea",0.94,13.364,"HRT1",1534,15769
"RT2","R","Blattodea",2.435,18.39,"HRT2",1342,15630
"RT3","R","Blattodea",1.095,17.242,"HRT3",681,14301
"RT4","R","Blattodea",1.763,14.079,"HRT4",513,6662
"RT5","R","Blattodea",1.144,17.5,"HRT5",1295,13931
"RT6","R","Blattodea",2.139,14.653,"HRT6",1818,16786
"RT7","R","Blattodea",2.619,18.503,"HRT7",2010,14534
"RT8","R","Blattodea",1.639,16.23,"HRT8",2496,19174
"RT9","R","Blattodea",0.634,9.801,"HRT9",896,14845
"RT10","R","Blattodea",0.384,13.587,"HRT10",522,14762
"RT11","R","Blattodea",1.261,13.343,"HRT11",1872,15301
"RT12","R","Blattodea",0.778,13.78,"HRT12",853,15301
"FT1","F","Carabidae",0.913,16.943,"HFT1",707,13671
"FT2","F","Carabidae",1.594,15.625,"HFT2",640,11178
"FT3","F","Carabidae",0.629,17.986,"HFT3",141,13396
"FT4","F","Carabidae",1.144,16.373,"HFT4",1002,14369
"FT5","F","Carabidae",3.005,24.124,"HFT5",855,10349
"FT6","F","Carabidae",2.14,15.478,"HFT6",1459,13782
"FT7","F","Carabidae",1.582,14.958,"HFT7",1255,15438
"FT8","F","Carabidae",0.712,13.781,"HFT8",471,12144
"FT10","F","Carabidae",1.236,15.933,"HFT10",1369,12148
"RT1","R","Carabidae",1.152,13.364,"HRT1",1240,15769
"RT2","R","Carabidae",0.648,18.39,"HRT2",309,15630
"RT3","R","Carabidae",0.56,17.242,"HRT3",281,14301
"RT4","R","Carabidae",1.136,14.079,"HRT4",286,6662
"RT5","R","Carabidae",1.871,17.5,"HRT5",1043,13931
"RT6","R","Carabidae",0.45,14.653,"HRT6",141,16786
"RT7","R","Carabidae",0.257,18.503,"HRT7",114,14534
"RT8","R","Carabidae",2.836,16.23,"HRT8",2178,19174
"RT9","R","Carabidae",1.557,9.801,"HRT9",2196,14845
"RT10","R","Carabidae",0.251,13.587,"HRT10",174,14762
"RT11","R","Carabidae",1.677,13.343,"HRT11",1913,15301
"RT12","R","Carabidae",2.115,13.78,"HRT12",1635,15301
"RT13","R","Carabidae",1.856,13.7,"HRT13",2292,15921
"RT14","R","Carabidae",2.318,11.191,"HRT14",2790,19388
"RT15","R","Carabidae",3.126,11.521,"HRT15",2836,14482
"FT1","F","Diptera",0.089,16.943,"HFT1",0,13671
"FT2","F","Diptera",0.319,15.625,"HFT2",971,11178
"FT3","F","Diptera",0.211,17.986,"HFT3",851,13396
"FT4","F","Diptera",0.564,16.373,"HFT4",2249,14369
"FT6","F","Diptera",0.225,15.478,"HFT6",559,13782
"RT1","R","Diptera",0.08,13.364,"HRT1",323,15769
"RT2","R","Diptera",0.121,18.39,"HRT2",95,15630
"RT3","R","Diptera",0.177,17.242,"HRT3",1208,14301
"RT4","R","Diptera",0.316,14.079,"HRT4",421,6662
"RT5","R","Diptera",0.158,17.5,"HRT5",779,13931
"RT6","R","Diptera",0.275,14.653,"HRT6",981,16786
"RT7","R","Diptera",0.23,18.503,"HRT7",538,14534
"FT1","F","Hemiptera",1.127,16.943,"HFT1",847,13671
"FT2","F","Hemiptera",2.584,15.625,"HFT2",1162,11178
"FT3","F","Hemiptera",0.761,17.986,"HFT3",448,13396
"FT4","F","Hemiptera",0.405,16.373,"HFT4",277,14369
"FT5","F","Hemiptera",1.839,24.124,"HFT5",547,10349
"FT6","F","Hemiptera",2.14,15.478,"HFT6",1612,13782
"FT7","F","Hemiptera",1.643,14.958,"HFT7",1540,15438
"FT10","F","Hemiptera",2.289,15.933,"HFT10",1477,12148
"FT11","F","Hemiptera",0.235,15.679,"HFT11",222,9902
"FT12","F","Hemiptera",2.531,14.99,"HFT12",1199,8536
"FT13","F","Hemiptera",0.11,17.188,"HFT13",0,0
"FT14","F","Hemiptera",3.36,12.723,"HFT14",2561,7833
"RT1","R","Hemiptera",0.482,13.364,"HRT1",286,15769
"RT2","R","Hemiptera",2.031,18.39,"HRT2",2308,15630
"RT3","R","Hemiptera",2.315,17.242,"HRT3",794,14301
"RT4","R","Hemiptera",0.319,14.079,"HRT4",91,6662
"RT5","R","Hemiptera",2.504,17.5,"HRT5",973,13931
"RT6","R","Hemiptera",1.552,14.653,"HRT6",1554,16786
"RT7","R","Hemiptera",2.124,18.503,"HRT7",1342,14534
"RT8","R","Hemiptera",1.2,16.23,"HRT8",879,19174
"RT9","R","Hemiptera",0.1,9.801,"HRT9",240,14845
"RT10","R","Hemiptera",0.13,13.587,"HRT10",70,14762
"RT11","R","Reduviidae",0.574,13.343,"HRT11",353,15301
"RT12","R","Reduviidae",2.055,13.78,"HRT12",1190,15301
"RT13","R","Reduviidae",3.268,13.7,"HRT13",2038,15921
"RT14","R","Reduviidae",2.48,11.191,"HRT14",2027,19388
"RT15","R","Reduviidae",1.432,11.521,"HRT15",958,14482
"FT1","F","Homptera",1.406,16.943,"HFT1",2121,13671
"FT2","F","Homptera",0.644,15.625,"HFT2",1006,11178
"FT3","F","Homptera",1.104,17.986,"HFT3",2205,13396
"FT4","F","Homptera",1.041,16.373,"HFT4",2404,14369
"FT5","F","Homptera",1.586,24.124,"HFT5",1367,10349
