COUNT,noriyuki,2.5mm,3mm,1mm,2mm,Interval Length,,,,,intervalMin,intervalMax,interval,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,24,87,5,48,,,,,,0,1,noriyuki,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,150,65,76,43,74,,,,,,1,5,noriyuki,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39,22,29,39,41,,COUNT FOR 2.5mm IS NOT COMPLETE,,,,5,10,noriyuki,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,17,5,35,23,,,,,,10,1000,noriyuki,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,33,11,,,,,,0,2.5,2.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,8,,,,,,,2.5,5,2.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENGTHS:,Lepidoptera,,,,Isopoda,,,,Orthoptera,,,,Araneae,,,,Psocoptera,,,,Blattodea,,,,Neuroptera,,,,Diptera,,,,Coleoptera,,,,Hymenoptera,,,,Acari,,,,Hemiptera,,,,Collembola,,,
,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) ,1 (0-1mm),2 (1-5mm),3 (5-10mm),4 ( > 10mm) 
1,,3.5,5.5,14,,2.5,9,12.5,,4.5,6,,1,3.5,7,,,2,,,,4.5,,,,4.5,,,,2.5,,,,3.5,6,,,1.5,,,1,1.5,,,,4,6.5,,1,4,,
2,,,,,,2.5,7,10,,4.5,6,,1,4.5,7,,,2,,,,4,,,,4.5,,,,3.5,,,,3.5,5,,,,,,1,1.5,,,,3,5,,1,2,,
3,,,,,,,6.5,,,3.5,5,,1,2.5,7.5,,,2,,,,4,,,,,,,,,,,,4,,,,,,,1,1.5,,,,4.5,5,,1,2.5,,
4,,,,,,,5,,,3,8,,,1.5,5,,,2,,,,4.5,,,,,,,,,,,,3.5,,,,,,,1,1.5,,,,4.5,8,,1,3.5,,
5,,,,,,,8,,,4.5,7,,,3,5,,,2,,,,,,,,,,,,,,,,4,,,,,,,,1.5,,,,3,8,,1,2.5,,
6,,,,,,,5.5,,,2,5,,,3,7,,,1.5,,,,,,,,,,,,,,,,3.5,,,,,,,,2,,,,2.5,8.5,,1,4,,
7,,,,,,,7.5,,,3.5,5,,,3,5.5,,,2,,,,,,,,,,,,,,,,3.5,,,,,,,,2,,,,4,8.5,,1,1.5,,
8,,,,,,,7,,,4,5.5,,,3,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,5,,1,1.5,,
9,,,,,,,,,,3,5,,,2.5,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,9.5,,1,4,,
10,,,,,,,,,,3.5,6,,,4.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,3,7.5,,1,2.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
