Group	Family	Genus/Species	mm_Length	mgWeight	mgDNA	ng/ul	Volume
Spider	Tetragnathidae	Quasimodo	5.00	4.54	0.01108	55.40	200.00
Spider	Tetragnathidae	Quasimodo	2.50	0.50	0.000776	3.88	200.00
Spider	Tetragnathidae	Quasimodo	5.70	4.37	0.01252	62.60	200.00
Spider	Tetragnathidae	Quasimodo	1.80	0.15	0.000082	0.41	200.00
Spider	Tetragnathidae	Quasimodo	2.25	0.51	0.001512	7.56	200.00
Spider	Tetragnathidae	Quasimodo	1.60	0.21	0.0001464	0.73	200.00
Spider	Tetragnathidae	Quasimodo	1.90	0.27	0.0001624	0.81	200.00
Spider	Tetragnathidae	Quasimodo	5.20	3.52	0.00916	45.80	200.00
Spider	Tetragnathidae	Quasimodo	4.60	3.16	0.0096	48.00	200.00
Spider	Tetragnathidae	Quasimodo	1.50	0.27	0.000216	1.08	200.00
Spider	Tetragnathidae	Quasimodo	3.60	1.12	0.00456	22.80	200.00
Spider	Tetragnathidae	Quasimodo	3.40	1.18	0.00452	22.60	200.00
Spider	Tetragnathidae	Quasimodo	2.80	0.69	0.001228	6.14	200.00
Spider	Tetragnathidae	Quasimodo	4.40	2.65	0.0084	42.00	200.00
Spider	Tetragnathidae	Quasimodo	5.35	4.70	0.01004	50.20	200.00
Spider	Tetragnathidae	Quasimodo	3.00	0.97	0.00206	10.30	200.00
Spider	Tetragnathidae	Quasimodo	4.30	1.96	0.00832	41.60	200.00
Spider	Tetragnathidae	Quasimodo	5.10	4.31	0.00968	48.40	200.00
Spider	Tetragnathidae	Quasimodo	3.90	1.49	0.00448	22.40	200.00
Spider	Tetragnathidae	Quasimodo	6.50	5.82	0.01028	51.40	200.00
Spider	Tetragnathidae	Stardust	1.50	0.20	0.000292	1.46	200.00
Spider	Tetragnathidae	Stardust	2.40	0.42	0.000368	1.84	200.00
Spider	Tetragnathidae	Stardust	3.00	0.79	0.001512	7.56	200.00
Spider	Tetragnathidae	Stardust	1.80	0.21	0.000436	2.18	200.00
Spider	Tetragnathidae	Stardust	2.60	0.74	0.000428	2.14	200.00
Spider	Tetragnathidae	Stardust	2.85	0.67	0.000632	3.16	200.00
Spider	Tetragnathidae	Stardust	1.10	0.12	0.0001224	0.61	200.00
Spider	Tetragnathidae	Stardust	1.75	0.64	0.000972	4.86	200.00
Spider	Tetragnathidae	Stardust	1.40	0.19	0.0000864	0.43	200.00
Spider	Tetragnathidae	Stardust	2.10	0.35	0.00068	3.40	200.00
Spider	Tetragnathidae	Stardust	2.25	0.52	0.00048	2.40	200.00
Spider	Tetragnathidae	Stardust	1.90	0.53	0.000338	1.69	200.00
Spider	Tetragnathidae	Stardust	2.50	0.50	0.000548	2.74	200.00
Spider	Tetragnathidae	Stardust	1.60	0.23	0.00042	2.10	200.00
Spider	Tetragnathidae	Stardust	2.00	0.35	0.0001364	0.68	200.00
Spider	Tetragnathidae	Stardust	1.20	0.06	0.0000264	0.13	200.00
Spider	Tetragnathidae	Stardust	2.90	1.06	0.001632	8.16	200.00
Spider	Tetragnathidae	Stardust	2.50	0.49	0.00062	3.10	200.00
Spider	Tetragnathidae	Stardust	2.50	0.54	0.000382	1.91	200.00
Spider	Tetragnathidae	Stardust	3.00	0.86	0.001184	5.92	200.00
Spider	Tetragnathidae	Hawaiensis	2.10	0.39	0.000356	1.78	200.00
Spider	Tetragnathidae	Hawaiensis	3.40	1.76	0.00624	31.20	200.00
Spider	Tetragnathidae	Hawaiensis	3.85	1.52	0.00548	27.40	200.00
Spider	Tetragnathidae	Hawaiensis	4.20	1.76	0.006	30.00	200.00
Spider	Tetragnathidae	Hawaiensis	2.90	1.28	0.00476	23.80	200.00
Spider	Tetragnathidae	Hawaiensis	3.30	1.34	0.00456	22.80	200.00
Spider	Tetragnathidae	Hawaiensis	1.30	0.12	0.0001604	0.80	200.00
Spider	Tetragnathidae	Hawaiensis	5.00	2.47	0.00488	24.40	200.00
Spider	Tetragnathidae	Hawaiensis	2.30	0.51	0.0006	3.00	200.00
Spider	Tetragnathidae	Hawaiensis	2.60	0.85	0.001332	6.66	200.00
Spider	Tetragnathidae	Hawaiensis	3.50	1.66	0.00628	31.40	200.00
Spider	Tetragnathidae	Hawaiensis	1.40	0.19	0.000292	1.46	200.00
Spider	Tetragnathidae	Hawaiensis	5.00	2.21	0.01008	50.40	200.00
Spider	Tetragnathidae	Hawaiensis	1.10	0.12	0.0001008	0.50	200.00
Spider	Tetragnathidae	Hawaiensis	2.20	0.56	0.000888	4.44	200.00
Spider	Tetragnathidae	Hawaiensis	4.10	2.55	0.00632	31.60	200.00
Spider	Tetragnathidae	Hawaiensis	1.50	0.18	0.0001792	0.90	200.00
Spider	Tetragnathidae	Hawaiensis	2.00	0.40	0.000628	3.14	200.00
Spider	Tetragnathidae	Hawaiensis	4.90	2.43	0.00536	26.80	200.00
Spider	Salticidae	Havaika	5.00	3.25	0.016	80.00	200.00
Spider	Salticidae	Havaika	3.50	0.88	0.00684	34.20	200.00
Spider	Salticidae	Havaika	5.40	4.45	0.01744	87.20	200.00
Spider	Salticidae	Havaika	3.40	0.86	0.00776	38.80	200.00
Spider	Salticidae	Havaika	2.30	0.21	0.001848	9.24	200.00
Spider	Salticidae	Havaika	3.40	0.87	0.00728	36.40	200.00
Spider	Salticidae	Havaika	3.90	1.11	0.0122	61.00	200.00
Spider	Salticidae	Havaika	5.00	2.63	0.00564	28.20	200.00
Spider	Salticidae	Havaika	8.00	11.48	0.0208	104.00	200.00
Spider	Salticidae	Havaika	5.10	4.27	0.01776	88.80	200.00
Spider	Salticidae	Havaika	2.50	0.33	0.00304	15.20	200.00
Spider	Salticidae	Havaika	4.20	1.51	0.012	60.00	200.00
Spider	Salticidae	Havaika	3.00	0.77	0.0078	39.00	200.00
Spider	Salticidae	Havaika	2.50	0.30	0.0028	14.00	200.00
Spider	Salticidae	Havaika	4.60	2.76	0.0082	41.00	200.00
Spider	Salticidae	Havaika	3.20	0.63	0.0046	23.00	200.00
Spider	Salticidae	Havaika	2.20	0.19	0.001796	8.98	200.00
Spider	Salticidae	Havaika	6.50	5.87	0.0172	86.00	200.00
