order,length
Lepidoptera,3.5
Lepidoptera,5.5
Lepidoptera,14
Isopoda,2.5
Isopoda,2.5
Isopoda,9
Isopoda,7
Isopoda,6.5
Isopoda,5
Isopoda,8
Isopoda,5.5
Isopoda,7.5
Isopoda,7
Isopoda,12.5
Isopoda,10
Orthoptera,4.5
Orthoptera,4.5
Orthoptera,3.5
Orthoptera,3
Orthoptera,4.5
Orthoptera,2
Orthoptera,3.5
Orthoptera,4
Orthoptera,3
Orthoptera,3.5
Orthoptera,6
Orthoptera,6
Orthoptera,5
Orthoptera,8
Orthoptera,7
Orthoptera,5
Orthoptera,5
Orthoptera,5.5
Orthoptera,5
Orthoptera,6
Araneae,1
Araneae,1
Araneae,1
Araneae,3.5
Araneae,4.5
Araneae,2.5
Araneae,1.5
Araneae,3
Araneae,3
Araneae,3
Araneae,3
Araneae,2.5
Araneae,4.5
Araneae,7
Araneae,7
Araneae,7.5
Araneae,5
Araneae,5
Araneae,7
Araneae,5.5
Araneae,5
Psocoptera,2
Psocoptera,2
Psocoptera,2
Psocoptera,2
Psocoptera,2
Psocoptera,1.5
Psocoptera,2
Psocoptera,2
Psocoptera,1.5
Psocoptera,2
Blattodea,4.5
Blattodea,4
Blattodea,4
Blattodea,4.5
Neuroptera,4.5
Neuroptera,4.5
Diptera,2.5
Diptera,3.5
Coleoptera,3.5
Coleoptera,3.5
Coleoptera,4
Coleoptera,3.5
Coleoptera,4
Coleoptera,3.5
Coleoptera,3.5
Coleoptera,6
Coleoptera,5
Hymenoptera,1.5
Acari,1
Acari,1
Acari,1
Acari,1
Acari,1.5
Acari,1.5
Acari,1.5
Acari,1.5
Acari,1.5
Acari,2
Acari,2
Acari,2
Acari,2
Acari,1.5
Hemiptera,4
Hemiptera,3
Hemiptera,4.5
Hemiptera,4.5
Hemiptera,3
Hemiptera,2.5
Hemiptera,4
Hemiptera,4
Hemiptera,4.5
Hemiptera,3
Hemiptera,6.5
Hemiptera,5
Hemiptera,5
Hemiptera,8
Hemiptera,8
Hemiptera,8.5
Hemiptera,8.5
Hemiptera,5
Hemiptera,9.5
Hemiptera,7.5
Collembola,4
Collembola,2
Collembola,2.5
Collembola,3.5
Collembola,2.5
Collembola,4
Collembola,1.5
Collembola,1.5
Collembola,4
Collembola,2.5
Collembola,1
Collembola,1
Collembola,1
Collembola,1
Collembola,1
Collembola,1
Collembola,1
Collembola,1
Collembola,1
Collembola,1
